name,address,postcode,lat,long,web
Museum of Norwich at the Bridewell,"The Museum of Norwich at the Bridewell, Bridewell Alley, Norwich, Norfolk, NR2 1AQ",NR2 1AQ,52.6301141800636,1.29501201801354,www.museums.norfolk.gov.uk
Norwich Castle Museum and Art Gallery,"Norwich Castle Museum and Art Galleries, Castle Mound, Norwich NR1 3JU
Postal address:  NMS, Shirehall, Market Avenue, Norwich NR1 3JQ, NR1 3JU :  Castle SAT NAV NR1 3JU",NR1 3JU,52.6286387761944,1.2963200016082,www.museums.norfolk.gov.uk
Royal Norfolk Regimental Museum,"Shirehall, Market Avenue, Norwich, Norfolk, NR1 3JQ",NR1 3JQ,52.6287536140331,1.29736326808852,www.museums.norfolk.gov.uk
Sainsbury Centre for Visual Arts,"University of East Anglia, Norwich, Norfolk, NR4 7TJ",NR4 7TJ,52.6223674287531,1.24139091832127,www.scva.ac.uk
Strangers’ Hall,"Charing Cross, Norwich, Norfolk, NR2 4AL",NR2 4AL,52.6305393150947,1.29233906128833,www.museums.norfolk.gov.uk
Peterborough Museum and Art Gallery,"Priestgate, Peterborough, PE1 1LF",PE1 1LF,52.5717975329089,-0.246613708436596,www.vivacity-peterborough.com
Railworld - Transport Centre & Wildlife Haven,"Oundle Road, Peterborough, Cambridgeshire, PE2 9NR",PE2 9NR,52.5678240789569,-0.247864091931398,www.railworld.net
Potters Bar Museum,"Wyllyotts Place, Darkes Lane, Potters Bar, Hertfordshire, EN6 2HN",EN6 2HN,51.6966862776816,-0.194226853340692
Prickwillow Drainage Engine Museum,"Main Street, Prickwillow, Ely, Cambridgeshire, CB7 4UN",CB7 4UN,52.4166123836523,0.344233182461055,www.prickwillow-engine-museum.co.uk
Fry Art Gallery,"Bridge End Gardens, Castle Street, Saffron Walden, Essex, CB10 1BD",CB10 1BD,52.0252494621059,0.238562968921515,www.fryartgallery.org
Saffron Walden Museum,"Museum Street, Saffron Walden, Essex, CB10 1JL",CB10 1JL,52.0247588895639,0.240243957395958,www.saffronwaldenmuseum.org
Clock Tower,"Market Place, St Albans, Hertfordshire",No Valid Postcode Found,,,www.stalbansmuseums.org.uk
Verulamium Museum,"St Michaels, St Albans, Hertfordshire, AL3 4SW",AL3 4SW,51.7531206642274,-0.354648845478072,www.stalbansmuseums.org.uk
Sheringham Museum,"Sheringham Museum
The Mo
Lifeboat Plain
Sheringham
Norfolk, NR26 8BG",NR26 8BG,52.9447576140823,1.21306827921018,www.sheringhammuseum.co.uk
Southend Museums Service,"c/o Central Museum, Victoria Avenue, Southend-on-Sea, Essex, SS2 6EW",SS2 6EW,51.5427090134224,0.710591252222886,www.southendmuseums.co.uk
Spalding Gentlemen’s Society,"Museum, Broad Street, Spalding, Lincolnshire, PE11 1TB",PE11 1TB,52.7875800206531,-0.15038116313592,www.spalding-gentlemens-society.org
Museum of the Broads,"The Staithe, Stalham, Norwich, Norfolk, NR12 9DA",NR12 9DA,52.7679208330377,1.51542616744742,www.museumofthebroads.org.uk
Museum of East Anglian Life,"Stowmarket, Suffolk, IP14 1DL",IP14 1DL,52.1872027574522,0.994612706842856,www.eastanglianlife.org.uk
Gainsborough’s House,"46 Gainsborough Street, Sudbury, Suffolk, CO10 2EU",CO10 2EU,52.0381670011851,0.727554003671027,www.gainsborough.org
"Ancient House, Museum of Thetford Life","White Hart Street, Thetford, Norfolk, IP24 1AA",IP24 1AA,52.4150085608258,0.746802742660382,www.museums.norfolk.gov.uk
Farmland Museum and Denny Abbey,"Ely Road, Waterbeach, Cambridgeshire, CB25 9PQ",CB25 9PQ,52.2957164780319,0.182297023370702,www.farmlandmuseum.org.uk
Welwyn Roman Baths,"Welwyn Bypass, Welwyn, Hertfordshire, AL6 9HT",AL6 9HT,51.8231411754393,-0.214176495336975
Whittlesey Museum,"Town Hall, Market Street, Whittlesey, Peterborough, PE7 1BD",PE7 1BD,52.5565819882808,-0.128971268130387
Witham Information Centre,"Newland Street, Witham, Essex, CM8 2FE",CM8 2FE,51.799017242722,0.639391342791371,http://www.witham.gov.uk/site/visit-witham/information-centre/
Woolpit & District Museum,"The Institute, Woolpit, Suffolk",No Valid Postcode Found,,
Wymondham Heritage Museum,"10 The Bridewell, Norwich Road, Wymondham, Norfolk, NR18 0NS",NR18 0NS,52.5709263811717,1.11716238960682,www.wymondhamheritagemuseum.co.uk
Rushen Abbey,"Ballasalla, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Castle Rushen,"Castletown, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Nautical Museum,"Castletown, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Old Grammar School,"Castletown, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Old House of Keys,"Castletown, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Cregneash,Isle of Man,No Valid Postcode Found,,,www.manxnationalheritage.im
The Sound,"The Sound Visitor Centre, Cregneash, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Manx Museum,"Manx National Heritage, Manx Museum, Douglas, Isle of Man, IM1 3LY",IM1 3LY,,,www.manxnationalheritage.im
Manx National Heritage,"Douglas, Isle of Man, IM1 3LY",IM1 3LY,,,www.manxnationalheritage.im
Great Laxey Wheel & Mines Trail,"Laxey, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Niarbyl Cafe and Visitor Centre,"Niarbyl, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
House of Manannan,"Peel, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
Peel Castle,"Peel, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
The Grove Museum of Victorian Life,"Andreas Road, Ramsey, Isle of Man",No Valid Postcode Found,,,www.manxnationalheritage.im
"Banqueting House, Whitehall","Whitehall, London, SW1A  2ER",SW1A  2ER,51.5045372186958,-0.125954062845128,www.hrp.org.uk
Barbican Art Gallery,"Level 3, Barbican Centre, Silk Street, London, EC2Y 8DS",EC2Y 8DS,51.5199591152333,-0.094128689259807,www.barbican.org.uk
Barnet Museum and Local History Society,"31 Wood Street, Barnet, Hertfordshire, EN5 4BE",EN5 4BE,51.6528141415211,-0.202490759911014,www.barnetmuseum.co.uk
"Ben Uri Gallery, The Art Museum for Everyone, The London Jewish Museum of Art","108A Boundary Road, off Abbey Rd, St John’s Wood, London, NW8 0RH",NW8 0RH,51.5374240297467,-0.185512104196575,www.benuri.org.uk
Benjamin Franklin House,"36 Craven Street, London, WC2N 5NF",WC2N 5NF,51.5076694213912,-0.125004155646793,www.benjaminfranklinhouse.org
Bentley Priory Museum,"Mansion House Drive
Stanmore, HA7 3FB",HA7 3FB,51.6265289627568,-0.333472462108942,www.bentleypriory.org
